ticks,Temperature
0,21.981424714073576,
1,32.972137071110375,
2,37.76369716616506,
3,39.517477105880545,
4,39.60405044661335,
5,39.207892201512536,
6,38.26275672266779,
7,36.981336651299245,
8,35.54070002572137,
9,33.74854665042202,
10,32.06971063826775,
11,30.061642844534244,
12,28.293385325984097,
13,26.653274468362184,
14,25.14727444019261,
15,23.63005080442455,
16,22.265141846938896,
17,20.84455675395436,
18,19.720912299436417,
19,18.298051725348078,
20,16.777769106357763,
21,14.919015508194475,
22,13.356564343353554,
23,11.722541937440212,
24,10.131697152031514,
25,8.22049520527002,
26,6.649671350235143,
27,5.689165675246926,
28,6.2855683300190766,
29,6.5748439153526,
30,6.6844629585252004,
31,6.704253730617344,
32,6.714149116663406,
33,6.964228056145542,
34,6.739080030945043,
35,6.731562266827259,
36,7.218065877686567,
37,7.53135518210451,
38,6.742493597971293,
39,6.698250300846233,
40,6.711147401777861,
41,6.647558453255352,
42,6.335613983040849,
43,6.739941739840103,
44,6.556899373804027,
45,6.815565685727533,
46,6.909880092195131,
47,6.886999796440618,
48,6.770503400080896,
49,6.677236452406878,
50,6.770677976546486,
51,6.85241748811045,
52,6.4730622499625605,
53,5.653047139993806,
54,6.013452073880863,
55,6.228673290318552,
56,6.196208900560782,
57,6.600201699611755,
58,6.346954355713217,
59,6.850668174658752,
60,6.892412587166591,
61,6.528078548984792,
62,6.626061525847131,
63,6.850146761749088,
64,6.506945636276038,
65,6.79058881696355,
66,6.827354158824831,
67,6.705661831778845,
68,6.784890666232475,
69,6.684430085482674,
70,6.599181045613607,
71,6.731650273149859,
72,7.078034882871224,
73,7.041114690766983,
74,6.952617095726551,
75,6.908368298206327,
76,6.851225149952063,
77,6.822653575824931,
78,6.388142794831494,
79,5.785681159899064,
80,6.009731584845172,
81,6.296850544789025,
82,6.090222529819365,
83,6.337096017276117,
84,6.635626508475275,
85,6.644816756098218,
86,6.859524376874628,
87,6.686728191309591,
88,6.6703675975153764,
89,6.6621873006182755,
90,6.623078402675568,
91,6.988730198139924,
92,6.646274853459777,
93,6.615122179096306,
94,6.354414595455488,
95,6.399154551105861,
96,6.9818245208375505,
97,7.133084507726764,
98,7.033620753700585,
99,6.913851377699194,
100,6.783929190710183,
101,6.894061844686463,
102,6.703996925215511,
103,7.029189459409897,
104,6.841598231565538,
105,6.082446377254384,
106,6.158114193522845,
107,6.336023099633697,
108,6.179846306230038,
109,6.031720410539879,
110,6.307844957636374,
111,6.691038477643724,
112,6.777578989164907,
113,6.96092424290212,
114,6.8424843728058065,
115,6.678208189275171,
116,6.280901352062462,
117,6.607529175868443,
118,6.665786839288948,
119,6.694915670999217,
120,7.024648832301748,
121,6.664234170540684,
122,6.834214334601705,
123,7.129316913597169,
124,6.856643209165,
125,7.17555010037297,
126,6.949797301541227,
127,6.836920902125351,
128,6.60538895494663,
129,7.260035470228707,
130,6.711889990515852,
131,6.017592256729539,
132,5.915574636295487,
133,6.2497720705141715,
134,6.521927036105988,
135,6.4128732724428,
136,6.568458887576143,
137,6.891382941601905,
138,6.632619974684912,
139,6.783388487179669,
140,6.718697745450426,
141,6.756389873574098,
142,6.425048442694386,
143,6.644583971690247,
144,6.71933298669403,
145,6.511576247736817,
146,6.582791625729,
147,6.408286817760141,
148,6.531146910740668,
149,7.327970696608186,
150,6.88593260168221,
151,6.840007301689991,
152,6.8520634011880635,
153,6.612960204477998,
154,6.458389856628794,
155,6.941404674610699,
156,7.287968332084131,
157,6.620800172961089,
158,6.042084846940474,
159,6.172952177860044,
