ticks,Temperature
0,-8.521298259865759,
1,-12.781947389798642,
2,-14.354708837723038,
3,-14.607566795936462,
4,-14.298656171872633,
5,-13.66286410897513,
6,-12.731113633304412,
7,-11.336215205799808,
8,-10.305745762494915,
9,-8.842267929635812,
10,-7.356599571007724,
11,-5.708782553317606,
12,-4.251799678713257,
13,-2.636176887140155,
14,-1.072383393006721,
15,0.6501991606463448,
16,2.532507922532343,
17,4.663584668817484,
18,6.558563732875837,
19,8.581993639712122,
20,10.423833502762177,
21,12.358213614726333,
22,14.091679948540094,
23,16.083802630272785,
24,18.144141729029197,
25,19.92136763470175,
26,21.214406753511078,
27,21.860926312915762,
28,22.18418609261806,
29,22.345815982469286,
30,22.426630927394836,
31,22.467038399857632,
32,22.487242136089048,
33,22.49734400420475,
34,22.502394938262583,
35,22.5049204052915,
36,22.50618313880595,
37,22.506814505563224,
38,22.498204446889233,
39,22.493899417552225,
40,22.500672644936373,
41,22.504059258628423,
42,22.496826823421824,
43,22.502136347871126,
44,22.504791110095777,
45,22.506118491208117,
46,22.497856439711697,
47,22.493725413963478,
48,22.50058564314198,
49,22.504015757731196,
50,22.505730815025835,
51,22.506588343673155,
52,22.50701710799678,
53,22.507231490158606,
54,22.507338681239524,
55,22.50739227677995,
56,22.507419074550214,
57,22.507432473435316,
58,22.507439172877863,
59,22.50744252259915,
60,22.507444197459787,
61,22.50744503489011,
62,22.507445453605275,
63,22.50744566296288,
64,22.498520025589052,
65,22.494057206902216,
66,22.500751539611308,
67,22.504098705965873,
68,22.49684654709055,
69,22.502146209705494,
70,22.50479604101296,
71,22.506120956666688,
72,22.497857672440976,
73,22.493726030328137,
74,22.500585951324297,
75,22.504015911822357,
76,22.50573089207143,
77,22.506588382195897,
78,22.507017127258173,
79,22.507231499789334,
80,22.507338686054865,
81,22.50739227918761,
82,22.507419075754036,
83,22.50743247403723,
84,22.507439173178856,
85,22.507442522749624,
86,22.50744419753507,
87,22.50744503492776,
88,22.507445453624083,
89,22.50744566297228,
90,22.498520025593777,
91,22.494057206904525,
92,22.50075153961245,
93,22.50409870596646,
94,22.487920805038307,
95,22.49768333867936,
96,22.493638863447334,
97,22.500542367883888,
98,22.495068378049545,
99,22.49233138313245,
100,22.499888627726445,
101,22.50366725002345,
102,22.505556561171925,
103,22.506501216746184,
104,22.506973544533277,
105,22.50720970842687,
106,22.507327790373626,
107,22.507386831347073,
108,22.507416351833744,
109,22.507431112077107,
110,22.507438492198748,
111,22.5074421822596,
112,22.507444027290003,
113,22.507444949805254,
114,22.507445411062818,
115,22.507445641691636,
116,22.498520014953442,
117,22.49405720158439,
118,22.491825794899807,
119,22.499635833610128,
120,22.494615110912736,
121,22.501030491616557,
122,22.5042381819685,
123,22.50584202714446,
124,22.48879246562731,
125,22.48919342692132,
126,22.498319649620885,
127,22.502882760970635,
128,22.505164316645565,
129,22.506305094482958,
130,22.506875483401714,
131,22.50716067786109,
132,22.50730327509076,
133,22.507374573705576,
134,22.507410223012965,
135,22.507428047666732,
136,22.50743695999358,
137,22.507441416157,
138,22.507443644238705,
139,22.507444758279586,
140,22.507445315299986,
141,22.507445593810235,
142,22.498519991012724,
143,22.49405718961402,
144,22.491825788914653,
145,22.499635830617557,
146,22.494615109416344,
147,22.50103049086845,
148,22.495312439541834,
149,22.501379155931136,
150,22.495486772073228,
151,22.49254058014426,
152,22.499993226232345,
153,22.503719549276376,
154,22.5055827107984,
155,22.50651429155938,
156,22.50698008193995,
157,22.507212977130212,
158,22.50732942472528,
159,22.507387648522858,
160,22.507416760421666,
161,22.507431316371022,
162,22.507438594345754,
163,22.5074422333331,
164,22.507444052826756,
165,22.50744496257358,
166,22.507445417447023,
167,22.507445644883713,
168,22.498520016549516,
169,22.494057202382393,
170,22.491825795298844,
171,22.49963583380967,
172,22.494615111012443,
173,22.50103049166645,
174,22.50423818199344,
175,22.505842027156923,
176,22.488792465633537,
177,22.48919342692443,
178,22.49831964962246,
179,22.502882760971413,
180,22.505164316645953,
181,22.506305094483157,
182,22.50687548340181,
183,22.50716067786113,
184,22.507303275090777,
185,22.50737457370559,
186,22.50741022301297,
187,22.50742804766672,
188,22.50743695999358,
189,22.507441416157004,
190,22.507443644238705,
191,22.507444758279586,
192,22.507445315299986,
193,22.507445593810235,
194,22.498519991012724,
195,22.49405718961402,
196,22.491825788914653,
197,22.499635830617557,
198,22.4856893673638,
199,22.496567619842175,
200,22.4930810040287,
201,22.500263438174564,
202,22.494928913194926,
203,22.492261650705142,
204,22.499853761512778,
205,22.503649816916596,
206,22.505547844618526,
207,22.50649685846948,
208,22.50697136539493,
