ticks,BlackDaisy,WhiteDaisy
0,450,450,
1,434,430,
2,431,414,
3,417,398,
4,416,384,
5,422,368,
6,428,343,
7,430,334,
8,446,311,
9,452,291,
10,471,270,
11,487,256,
12,504,235,
13,522,218,
14,545,197,
15,577,176,
16,624,154,
17,662,140,
18,708,121,
19,750,108,
20,789,89,
21,816,74,
22,844,49,
23,873,26,
24,890,9,
25,900,0,
26,900,0,
27,900,0,
28,900,0,
29,900,0,
30,900,0,
31,900,0,
32,900,0,
33,900,0,
34,900,0,
35,900,0,
36,900,0,
37,899,0,
38,899,0,
39,900,0,
40,900,0,
41,899,0,
42,900,0,
43,900,0,
44,900,0,
45,899,0,
46,899,0,
47,900,0,
48,900,0,
49,900,0,
50,900,0,
51,900,0,
52,900,0,
53,900,0,
54,900,0,
55,900,0,
56,900,0,
57,900,0,
58,900,0,
59,900,0,
60,900,0,
61,900,0,
62,900,0,
63,899,0,
64,899,0,
65,900,0,
66,900,0,
67,899,0,
68,900,0,
69,900,0,
70,900,0,
71,899,0,
72,899,0,
73,900,0,
74,900,0,
75,900,0,
76,900,0,
77,900,0,
78,900,0,
79,900,0,
80,900,0,
81,900,0,
82,900,0,
83,900,0,
84,900,0,
85,900,0,
86,900,0,
87,900,0,
88,900,0,
89,899,0,
90,899,0,
91,900,0,
92,900,0,
93,898,0,
94,900,0,
95,899,0,
96,900,0,
97,899,0,
98,899,0,
99,900,0,
100,900,0,
101,900,0,
102,900,0,
103,900,0,
104,900,0,
105,900,0,
106,900,0,
107,900,0,
108,900,0,
109,900,0,
110,900,0,
111,900,0,
112,900,0,
113,900,0,
114,900,0,
115,899,0,
116,899,0,
117,899,0,
118,900,0,
119,899,0,
120,900,0,
121,900,0,
122,900,0,
123,898,0,
124,899,0,
125,900,0,
126,900,0,
127,900,0,
128,900,0,
129,900,0,
130,900,0,
131,900,0,
132,900,0,
133,900,0,
134,900,0,
135,900,0,
136,900,0,
137,900,0,
138,900,0,
139,900,0,
140,900,0,
141,899,0,
142,899,0,
143,899,0,
144,900,0,
145,899,0,
146,900,0,
147,899,0,
148,900,0,
149,899,0,
150,899,0,
151,900,0,
152,900,0,
153,900,0,
154,900,0,
155,900,0,
156,900,0,
157,900,0,
158,900,0,
159,900,0,
160,900,0,
161,900,0,
162,900,0,
163,900,0,
164,900,0,
165,900,0,
166,900,0,
167,899,0,
168,899,0,
169,899,0,
170,900,0,
171,899,0,
172,900,0,
173,900,0,
174,900,0,
175,898,0,
176,899,0,
177,900,0,
178,900,0,
179,900,0,
180,900,0,
181,900,0,
182,900,0,
183,900,0,
184,900,0,
185,900,0,
186,900,0,
187,900,0,
